"","FSCSKEY","FSCS_SEQ","STABR","LIBID","LIBNAME","ADDRESS","CITY","ZIP","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","LONGITUD","LATITUDE","PLS_YEAR","POPU_LSA","POPU_LSA_YEAR"
"70","MA0049",NA,"MA","CAMBRIDGE","CAMBRIDGE PUBLIC LIBRARY","449 BROADWAY","CAMBRIDGE",2138,NA,12,"City Midsize","City",-71.1119267,42.3736296,2014,118977,2020
"71","MD0002",999,"MD","MD0002","ANNE ARUNDEL COUNTY PUBLIC LIBRARY","5 HARRY S. TRUMAN PARKWAY","ANNAPOLIS",21401,21,NA,"Suburban Large","Suburban",-76.56860697,38.980759,2020,573235,2020
"72","MD0007",999,"MD","MD0007","CARROLL COUNTY PUBLIC LIBRARY","1100 GREEN VALLEY ROAD","NEW WINDSOR",21776,41,NA,"Rural Fringe","Rural",-77.10778345,39.54474559,2020,167781,2020
"73","MD0009",NA,"MD","MD0009","CHARLES COUNTY PUBLIC LIBRARY","2 GARRETT AVENUE","LA PLATA",20646,22,NA,"Suburban Midsize","Suburban",-76.97178869,38.53053291,2020,159700,2020
"74","MD0013",999,"MD","MD0013","HARFORD COUNTY PUBLIC LIBRARY","1221-A BRASS MILL ROAD","BELCAMP",21017,22,NA,"Suburban Midsize","Suburban",-76.23569546,39.47752884,2020,252160,2020
"75","MD0014",999,"MD","MD0014","HOWARD COUNTY LIBRARY SYSTEM","9411 FREDERICK ROAD","ELLICOTT CITY",21042,21,NA,"Suburban Large","Suburban",-76.838289,39.2732197,2020,321113,2020
"76","MD0016",999,"MD","MD0016","MONTGOMERY COUNTY PUBLIC LIBRARIES","21 MARYLAND AVE., SUITE 310","ROCKVILLE",20850,13,NA,"City Small","City",-77.15108897,39.08662009,2020,1058810,2020
"77","MD0017",999,"MD","MD0017","PRINCE GEORGE`S COUNTY MEMORIAL LIBRARY SYSTE","9601 CAPITAL LANE","LARGO",20774,21,NA,"Suburban Large","Suburban",-76.83867499,38.89147233,2020,912756,2020
"78","MD0019",NA,"MD","MD0019","ST. MARY`S COUNTY LIBRARY","23630 HAYDEN FARM LN.","LEONARDTOWN",20650,41,NA,"Rural Fringe","Rural",-76.63547574,38.31537164,2020,112667,2020
"79","MD0024",NA,"MD","MD0024","WORCESTER COUNTY LIBRARY","307 N WASHINGTON STREET","SNOW HILL",21863,42,NA,"Rural Distant","Rural",-75.39402649,38.17841515,2020,51690,2020
"80","MI0190",999,"MI","MI0190-002","LAPEER DISTRICT LIBRARY","201 VILLAGE WEST DRIVE SOUTH","LAPEER",48446,41,NA,"Rural Fringe","Rural",-83.33356202,43.05045772,2020,60006,2020
"81","MI0233",999,"MI","MI0233-13","MONROE COUNTY LIBRARY SYSTEM","840 SOUTH ROESSLER STREET","MONROE",48161,13,NA,"City Small","City",-83.41436219,41.91272418,2020,149955,2020
"82","MI0240",999,"MI","MI0240-002","MUSKEGON AREA DISTRICT LIBRARY","4845 AIRLINE ROAD UNIT 5","MUSKEGON",49444,NA,22,"Suburban Midsize","Suburban",-86.195468,43.165064,2015,105852,2020
"83","MI0279",999,"MI","MI0279-002","PRESQUE ISLE DISTRICT LIBRARY","181 EAST ERIE STREET","ROGERS CITY",49779,33,NA,"Town Remote","Town",-83.81462958,45.41991908,2020,14878,2020
"84","MI0310",NA,"MI","MI0310-002","COMMUNITY DISTRICT LIBRARY","210 EAST CORUNNA AVENUE","CORUNNA",48817,32,NA,"Town Distant","Town",-84.11633781,42.98185273,2020,28263,2020
"85","MN0035",999,"MN","M0200","ANOKA COUNTY LIBRARY","707 COUNTY RD 10 NE","BLAINE",55434,21,NA,"Suburban Large","Suburban",-93.25300736,45.12664714,2020,341518,2020
"86","MN0038",999,"MN","M0300","CARVER COUNTY LIBRARY SYSTEM","4 CITY HALL PLAZA","CHASKA",55318,21,NA,"Suburban Large","Suburban",-93.60196997,44.78723633,2020,105089,2020
"87","MN0039",NA,"MN","M0400","DAKOTA COUNTY LIBRARY","1340 WESCOTT ROAD","EAGAN",55123,13,NA,"City Small","City",-93.16342007,44.81772845,2020,436983,2020
"88","MN0041",NA,"MN","M0500","HENNEPIN COUNTY LIBRARY","12601 RIDGEDALE DRIVE","MINNETONKA",55305,13,NA,"City Small","City",-93.44016243,44.96560262,2020,1279981,2020
"89","MN0043",NA,"MN","M0700","RAMSEY COUNTY LIBRARY","4560 N VICTORIA ST","SHOREVIEW",55126,21,NA,"Suburban Large","Suburban",-93.13553432,45.07983446,2020,242323,2020
"90","MN0044",999,"MN","M0800","SAINT PAUL PUBLIC LIBRARY","90 WEST FOURTH STREET","SAINT PAUL",55102,11,NA,"City Large","City",-93.09734704,44.94411251,2020,315925,2020
"91","MN0045",NA,"MN","M0900","SCOTT COUNTY LIBRARY","1615 WESTON COURT","SHAKOPEE",55379,21,NA,"Suburban Large","Suburban",-93.50817253,44.77578499,2020,147081,2020
"92","MN0046",NA,"MN","M1000","WASHINGTON COUNTY LIBRARY","8595 CENTRAL PARK PLACE","WOODBURY",55125,21,NA,"Suburban Large","Suburban",-92.93191752,44.91740353,2020,239173,2020
"93","MN0050",999,"MN","N0000","NORTHWEST REGIONAL LIBRARY","210 LABREE AVENUE NORTH","THIEF RIVER FALLS",56701,33,NA,"Town Remote","Town",-96.17996678,48.11851321,2020,47268,2020
