"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"5616","VA0043",6,"VA0043-006","JONNIE B. DEEL MEMORIAL LIBRARY","198 CHASE STREET","CLINTWOOD","VA",24228,NA,"BR",37.14858176,-82.45674819,2020,1,NA
"5617","VA0044",13,"VA0044-013","LAW LIBRARY","18 EAST MARKET STREET","LEESBURG","VA",20176,NA,"BR",39.11518411,-77.56346855,2020,1,NA
"5618","VA0047",2,"VA0047-002","MARY RILEY STYLES PUBLIC LIBRARY","120 NORTH VIRGINIA AVENUE","FALLS CHURCH","VA",22046,NA,"CE",38.88597473,-77.17481697,2020,1,NA
"5619","VA0049",5,"VA0049-002","MEHERRIN REGIONAL LIBRARY BOOKMOBILE/VAN","133 W. HICKS STREET","LAWRENCEVILLE","VA",23868,NA,"BS",36.75770759,-77.84809175,2020,1,NA
"5620","VA0051",NA,"VA0051","MONTGOMERY-FLOYD REGIONAL LIBRARY","125 SHELTMAN STREET","CHRISTIANSBURG","VA",24073,"MO",NA,37.1294004,-80.41404846,2020,1,NA
"5621","VA0052",2,"VA0052-002","IRIS BRAMMER PUBLIC LIBRARY","109 MARY STREET","NARROWS","VA",24124,NA,"CE",37.32811751,-80.81313744,2020,1,NA
"5622","VA0053",999,"VA0053","NEWPORT NEWS PUBLIC LIBRARY SYSTEM","700 TOWN CENTER DR., STE. 300","NEWPORT NEWS","VA",23606,"MA",NA,37.08674904,-76.47423579,2020,1,NA
"5623","VA0054",999,"VA0054","NORFOLK PUBLIC LIBRARY","1155 PINERIDGE ROAD","NORFOLK","VA",23502,"MA",NA,36.86106752,-76.22876916,2020,1,NA
"5624","VA0057",NA,"VA0057","PAMUNKEY REGIONAL LIBRARY","7527 LIBRARY DRIVE","HANOVER","VA",23069,"MO",NA,37.76267171,-77.3665359,2020,1,NA
"5625","VA0058",2,"VA0058-002","PEARISBURG PUBLIC LIBRARY","209 FORT BRANCH ROAD","PEARISBURG","VA",24134,NA,"CE",37.32447914,-80.72212984,2020,1,NA
"5626","VA0059",3,"VA0059-003","A. P. HILL BRANCH","1237 HALIFAX STREET","PETERSBURG VA","VA",23803,NA,"BR",37.20981,-77.413501,2014,1,NA
"5627","VA0059",4,"VA0059-004","RODOF SHOLOM BRANCH","1865 S SYCAMORE STREET","PETERSBURG","VA",23805,NA,"BR",37.204384,-77.386463,2016,1,NA
"5628","VA0064",4,"VA0064-004","GAINESVILLE NEIGHBORHOOD LIBRARY","4603 JAMES MADISON HIGHWAY","HAYMARKET","VA",20169,NA,"BR",38.8522,-77.638166,2016,1,NA
"5629","VA0064",NA,"VA0064","PRINCE WILLIAM PUBLIC LIBRARY SYSTEM","13083 CHINN PARK DRIVE","PRINCE WILLIAM","VA",22192,"MO",NA,38.67022181,-77.33340073,2020,1,NA
"5630","VA0065",2,"VA0065-002","PULASKI COUNTY LIBRARY","60 WEST THIRD STREET","PULASKI","VA",24301,NA,"CE",37.04903451,-80.78137565,2020,1,NA
"5631","VA0065",4,"VA0065-004","CHARLES & ONA B. FREE MEMORIAL LIBRARY","300 GILES AVENUE","DUBLIN","VA",24084,NA,"BR",37.10799972,-80.68762121,2020,1,NA
"5632","VA0066",2,"VA0066-002","RADFORD PUBLIC LIBRARY","30 WEST MAIN ST.","RADFORD","VA",24141,NA,"CE",37.13745532,-80.56915768,2020,1,NA
"5633","VA0068",999,"VA0068","RICHMOND PUBLIC LIBRARY","101 EAST FRANKLIN STREET","RICHMOND","VA",23219,"MA",NA,37.54311228,-77.44229096,2020,1,NA
"5634","VA0069",2,"VA0070-002","ROANOKE CITY PUBLIC LIBRARY","706 S. JEFFERSON STREET","ROANOKE","VA",24016,NA,"CE",37.26803687,-79.94069272,2020,1,NA
"5635","VA0069",5,"VA0069-005","ROANOKE LAW LIBRARY","315 CHURCH AVE. SW","ROANOKE","VA",24011,NA,"BR",37.27061003,-79.94582856,2020,1,NA
"5636","VA0070",7,"VA0070-007","VINTON BRANCH LIBRARY","300 S. POLLARD ST.","ROANOKE","VA",24179,NA,"BR",37.27896616,-79.89800896,2020,1,NA
"5637","VA0073",999,"VA0073","RUSSELL COUNTY PUBLIC LIBRARY","248 W MAIN STREET","LEBANON","VA",24266,"MA",NA,36.9007285,-82.08468364,2020,1,NA
"5638","VA0077",5,"VA0077-005","BLAND COUNTY PUBLIC LIBRARY","140 MAIN STREET","BLAND","VA",24315,NA,"BR",37.106175,-81.119371,2017,1,NA
"5639","VA0078",2,"VA0078-002","BUTLER MEMORIAL LIBRARY","515 MARSHALL STREET","CHASE CITY","VA",23924,NA,"BR",36.8015,-78.4582,2015,1,NA
"5640","VA0078",3,"VA0078-003","CLARKSVILLE AREA PUBLIC LIBRARY","914 VIRGINIA AVE.","CLARKSVILLE","VA",23927,NA,"BR",36.620907,-78.564279,2015,1,NA
"5641","VA0078",4,"VA0078-004","R. T. ARNOLD LIBRARY","110 EAST DANVILLE ST.","SOUTH HILL","VA",23970,NA,"BR",36.724313,-78.129978,2015,1,NA
"5642","VA0078",5,"VA0078-005","RIPBERGER PUBLIC LIBRARY","117 SOUTH BROAD ST.","KENBRIDGE","VA",23944,NA,"BR",36.96312,-78.124392,2015,1,NA
"5643","VA0078",6,"VA0078-006","VICTORIA PUBLIC LIBRARY","1417 7TH STREET","VICTORIA","VA",23974,NA,"BR",36.994186,-78.226431,2015,1,NA
"5644","VA0078",7,"VA0078-007","SOUTHSIDE REGIONAL LIBRARY HEADQUARTER/BOYDTON PUBLIC LIBRAR","1294 JEFFERSON ST.","BOYDTON","VA",23917,NA,"BR",36.666533,-78.388322,2015,1,NA
"5645","VA0078",999,"VA0078","SOUTHSIDE REGIONAL LIBRARY","1294 JEFFERSON ST.","BOYDTON","VA",23917,"MA",NA,36.666533,-78.388322,2016,1,NA
"5646","VA0079",2,"VA0079-002","STAUNTON PUBLIC LIBRARY","1 CHURCHVILLE AVENUE","STAUNTON","VA",24401,NA,"CE",38.15597106,-79.07326154,2020,1,NA
"5647","VA0082",10,"VA0082-010","WAHAB PUBLIC LAW LIBRARY","JUDICIAL CENTER, BUILDING 10B","VIRGINIA BEACH","VA",23456,NA,"BR",36.7536088,-76.06009133,2020,1,NA
"5648","VA0082",15,"VA0082-015","JOINT-USE LIBRARY (TCC/CITY OF VB)","1700 COLLEGE CRESCENT (BLDG L)","VIRGINIA BEACH","VA",23453,NA,"BR",36.78536204,-76.09872988,2020,1,NA
"5649","VA0082",999,"VA0082","VIRGINIA BEACH PUBLIC LIBRARY","2416 COURTHOUSE DRIVE BUILDING 19","VIRGINIA BEACH","VA",23456,"MA",NA,36.75057777,-76.05554322,2020,1,NA
"5650","VA0083",8,"VA0083-008","BOOKMOBILE","22511 MAIN STREET","COURTLAND","VA",23837,NA,"BS",36.71153688,-77.06277498,2020,1,NA
"5651","VA0086",3,"VA0086-003","MOBILE LIBRARY SERVICES","7770 CROAKER ROAD","WILLIAMSBURG","VA",23188,NA,"BS",37.37819041,-76.7711907,2020,1,NA
"5652","VA0086",NA,"VA0086","WILLIAMSBURG REGIONAL LIBRARY","7770 CROAKER ROAD","WILLIAMSBURG","VA",23188,"MO",NA,37.37819041,-76.7711907,2020,1,NA
"5653","VA0087",4,"VA0087-004","WGRL OUTREACH","147 S. INDEPENDENCE AVE.","INDEPENDENCE","VA",24348,NA,"BS",36.62099937,-81.15213254,2020,1,NA
"5654","VA0087",NA,"VA0087","WYTHE-GRAYSON REGIONAL LIBRARY","147 S. INDEPENDENCE AVE.","INDEPENDENCE","VA",24348,"MO",NA,36.62099937,-81.15213254,2020,1,NA
