"FSCSKEY","FSCS_SEQ","PLS_YEAR"
"AL0005",2,2016
"AL0005",2,2017
"AL0005",2,2018
"AL0005",2,2019
"AL0005",2,2020
"AL0006",2,2014
"AL0006",2,2015
"AL0006",2,2016
"AL0006",2,2017
"AL0006",2,2018
"AL0006",2,2019
"AL0006",2,2020
"AL0007",2,2014
"AL0007",2,2015
"AL0007",2,2016
"AL0007",2,2017
"AL0007",2,2018
"AL0007",2,2019
"AL0007",2,2020
"AL0009",2,2014
"AL0009",2,2015
"AL0009",2,2016
"AL0009",2,2017
"AL0009",2,2018
"AL0009",2,2019
"AL0009",2,2020
"AL0010",2,2014
"AL0010",2,2015
"AL0010",2,2016
"AL0010",2,2017
"AL0010",2,2018
"AL0010",2,2019
"AL0010",2,2020
"AL0010",6,2014
"AL0010",6,2015
"AL0010",6,2016
"AL0010",6,2017
"AL0010",6,2018
"AL0010",6,2019
"AL0010",6,2020
"AL0010",999,2014
"AL0010",999,2015
"AL0010",999,2016
"AL0010",999,2017
"AL0010",999,2018
"AL0010",999,2019
"AL0010",999,2020
"AL0011",2,2014
"AL0011",2,2015
"AL0011",2,2016
"AL0011",2,2017
"AL0011",2,2018
"AL0011",2,2019
"AL0011",2,2020
"AL0012",2,2014
"AL0012",2,2015
"AL0012",2,2016
"AL0012",2,2017
"AL0012",2,2018
"AL0012",2,2019
"AL0012",2,2020
"AL0013",2,2014
"AL0013",2,2015
"AL0013",2,2016
"AL0013",2,2017
"AL0013",2,2018
"AL0013",2,2019
"AL0013",2,2020
"AL0014",2,2014
"AL0014",2,2015
"AL0014",2,2016
"AL0014",2,2017
"AL0014",2,2018
"AL0014",2,2019
"AL0014",2,2020
"AL0015",2,2014
"AL0015",2,2015
"AL0015",2,2016
"AL0015",2,2017
"AL0015",2,2018
"AL0015",2,2019
"AL0015",2,2020
"AL0016",2,2014
"AL0016",2,2015
"AL0016",2,2016
"AL0016",2,2017
"AL0016",2,2018
"AL0016",2,2019
"AL0016",2,2020
"AL0017",2,2014
"AL0017",2,2015
"AL0017",2,2016
"AL0017",2,2017
"AL0017",2,2018
"AL0017",2,2019
"AL0017",2,2020
"AL0018",2,2014
"AL0018",2,2015
"AL0018",2,2016
"AL0018",2,2017
"AL0018",2,2018
"AL0018",2,2019
"AL0018",2,2020
"AL0019",2,2014
"AL0019",2,2015
"AL0019",2,2016
"AL0019",2,2017
"AL0019",2,2018
"AL0019",2,2019
"AL0019",2,2020
"AL0020",2,2014
"AL0020",2,2015
"AL0020",2,2016
"AL0020",2,2017
"AL0020",2,2018
"AL0020",2,2019
"AL0020",2,2020
"AL0022",2,2014
"AL0022",2,2015
"AL0022",2,2016
"AL0022",2,2017
"AL0022",2,2018
"AL0022",2,2019
"AL0022",2,2020
"AL0023",3,2014
"AL0024",2,2014
"AL0024",2,2015
"AL0024",2,2016
"AL0024",2,2017
"AL0024",2,2018
"AL0024",2,2019
"AL0024",2,2020
"AL0025",2,2014
"AL0025",2,2015
"AL0025",2,2016
"AL0025",2,2017
"AL0025",2,2018
"AL0025",2,2019
"AL0025",2,2020
"AL0026",2,2014
"AL0026",2,2015
"AL0026",2,2016
"AL0026",2,2017
"AL0026",2,2018
"AL0026",2,2019
"AL0026",2,2020
"AL0029",2,2014
"AL0029",2,2015
"AL0029",2,2016
"AL0029",2,2017
"AL0029",2,2018
"AL0029",2,2019
"AL0029",2,2020
"AL0030",2,2014
"AL0030",2,2015
"AL0030",2,2016
"AL0030",2,2017
"AL0030",2,2018
"AL0030",2,2019
"AL0030",2,2020
"AL0031",2,2014
"AL0031",2,2015
"AL0031",2,2016
"AL0031",2,2017
"AL0031",2,2018
"AL0031",2,2019
"AL0031",2,2020
"AL0032",2,2014
"AL0032",2,2015
"AL0032",2,2016
"AL0032",2,2017
"AL0032",2,2018
"AL0032",2,2019
"AL0032",2,2020
"AL0033",2,2014
"AL0033",2,2015
"AL0033",2,2016
"AL0033",2,2017
"AL0033",2,2018
"AL0033",2,2019
"AL0033",2,2020
"AL0034",2,2014
"AL0034",2,2015
"AL0034",2,2016
"AL0034",2,2017
"AL0034",2,2018
"AL0034",2,2019
"AL0034",2,2020
"AL0035",2,2014
"AL0035",2,2015
"AL0035",2,2016
"AL0035",2,2017
"AL0035",2,2018
"AL0035",2,2019
"AL0035",2,2020
"AL0037",2,2014
"AL0037",2,2015
"AL0037",2,2016
"AL0037",2,2017
"AL0037",2,2018
"AL0037",2,2019
"AL0037",2,2020
"AL0038",2,2014
"AL0038",2,2015
"AL0038",2,2016
"AL0038",2,2017
"AL0038",2,2018
"AL0038",2,2019
"AL0038",2,2020
"AL0039",2,2014
"AL0039",2,2015
"AL0039",2,2016
"AL0039",2,2017
"AL0039",2,2018
"AL0039",2,2019
"AL0039",2,2020
"AL0040",2,2014
"AL0040",2,2015
"AL0040",2,2016
"AL0040",2,2017
"AL0040",2,2018
"AL0040",2,2019
"AL0040",2,2020
"AL0041",2,2014
"AL0041",2,2015
"AL0041",2,2016
"AL0041",2,2017
"AL0041",2,2018
"AL0041",2,2019
"AL0041",2,2020
"AL0041",3,2019
"AL0041",3,2020
"AL0042",2,2014
"AL0042",2,2015
"AL0042",2,2016
"AL0042",2,2017
"AL0042",2,2018
"AL0042",2,2019
"AL0042",2,2020
"AL0043",2,2014
"AL0043",2,2015
"AL0043",2,2016
"AL0043",2,2017
"AL0043",2,2018
"AL0043",2,2019
"AL0043",2,2020
"AL0044",2,2014
"AL0044",2,2015
"AL0044",2,2016
"AL0044",2,2017
"AL0044",2,2018
"AL0044",2,2019
"AL0044",2,2020
"AL0045",2,2014
"AL0045",2,2015
"AL0045",2,2016
"AL0045",2,2017
"AL0045",2,2018
"AL0045",2,2019
"AL0045",2,2020
"AL0046",2,2014
"AL0046",2,2015
"AL0046",2,2016
"AL0046",2,2017
"AL0046",2,2018
"AL0046",2,2019
"AL0046",2,2020
"AL0047",2,2014
"AL0047",2,2015
"AL0047",2,2016
"AL0047",2,2017
"AL0047",2,2018
"AL0047",2,2019
"AL0047",2,2020
"AL0048",2,2014
"AL0048",2,2015
"AL0048",2,2016
"AL0048",2,2017
"AL0048",2,2018
"AL0048",2,2019
"AL0048",2,2020
"AL0048",8,2014
"AL0048",8,2015
"AL0048",8,2016
"AL0048",8,2017
"AL0048",8,2018
"AL0048",8,2019
"AL0048",8,2020
"AL0048",999,2014
"AL0048",999,2015
"AL0048",999,2016
"AL0048",999,2017
"AL0048",999,2018
"AL0048",999,2019
"AL0048",999,2020
"AL0049",2,2014
"AL0049",2,2015
"AL0049",2,2016
"AL0049",2,2017
"AL0049",2,2018
"AL0049",2,2019
"AL0049",2,2020
"AL0049",3,2014
"AL0049",3,2015
"AL0049",3,2016
"AL0049",3,2017
"AL0049",3,2018
"AL0049",3,2019
"AL0049",3,2020
"AL0049",999,2014
"AL0049",999,2015
"AL0049",999,2016
"AL0049",999,2017
"AL0049",999,2018
