"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1372",184250,"library for the blind and physically handicapped","library","198 West St","Rocky Hill","CT",6067
"1373",199621,"biblioteca pública ciales","library","Calle Cabelines","Ciales","PR",638
"1374",199638,"biblioteca publica de hatillo","library","Calle Vidal Felix, Frente A La Plaza De Recreo","Hatillo","PR",659
"1375",199698,"biblioteca publica vieques","library","Calle Baldorioty De Castro","Vieques","PR",765
"1376",201590,"lone tree branch library","library","10055 Town Ridge Dr","Lone Tree","CO",80124
"1377",209402,"three rivers library system","library","11929 Elm Street,   Suite 18","Omaha","NE",68144
"1378",223676,"biblioteca municipal de catano, alberto davila fuertes","library","Avenida Barbosa #165","Catano","PR",963
"1379",225263,"clinton-macomb public library north branch","library","54100 Broughton Road","Macomb","MI",48042
"1380",24077,"smith island-ewell branch library","library","4005 Smith Island Road","Ewell","MD",21824
"1381",25962,"bacon district branch library","library","Hwy 15","Wylliesburg","VA",23976
"1382",26219,"jonnie b. deel memorial library","library","198 Chase Street","Clintwood","VA",24228
"1383",39981,"pine level branch library","library","Us 231 And Moore Road","Pine Level","AL",36065
"1384",49650,"milford branch library","library","934 Lila Ave","Milford","OH",45150
"1385",51195,"summitville community library","library","Po Box 486","Summitville","IN",46070
"1386",52400,"cromwell branch library","library","Po Box 555","Cromwell","IN",46732
"1387",53455,"hatfield branch library","library","Po Box 361","Hatfield","IN",47617
"1388",53479,"richland branch library","library","Po Box 155","Richland","IN",47634
"1389",79812,"west branch library","library","East Third Street","Edgard","LA",70049
"1390",81015,"east feliciana branch library","library","P.O. Box 8389","Clinton","LA",70722
"1391",81409,"mack memorial library","library","1000 S Arkansas St","Springhill","LA",71075
"1392",81881,"calvin branch library","library","255 2nd Street","Winnfield","LA",71483
"1393",82148,"gurdon public library","library","School And Josyln Sts","Gurdon","AR",71743
"1394",139290,"state library of louisiana","library","Po Box 131","Baton Rouge","LA",70821
"1395",16066180,"rota public library","library","Po Box 537","Rota","MP",96951
"1396",17008368,"centro tecnológico servicios múltiples santa rosa iii","library","Carr Estatal Pr 833 Bo. Santa Rosa Iii","Guaynabo","PR",970
"1397",17008369,"centro tecnológico servicios múltiples santa rosa ii-julio gonzález","library","Centro Tecnológico Servicios Múltiples Santa Rosa Ii-Julio González","Guaynabo","PR",970
"1398",17008370,"centro tecnológico servicios múltiples hato nuevo-fernando rodríguez","library","Carr Estatal Pr 834 Km 1.3 Bo. Hato Nuevo","Guaynabo","PR",970
"1399",17008371,"centro tecnológico servicios múltiples guaraguao-petra collazo","library","Carr Estatal Pr 833 Camino López Cases Bo. Guaraguao","Guaynabo","PR",970
"1400",17008372,"centro tecnológico pueblo city hall - anexo ii","library","Calle José Julián Acosta Esq. De Diego Anexo Ii Casa Alcaldía","Guaynabo","PR",970
"1401",17009157,"centro tecnológico de camarones","library","Carr. 836 Km. 2.1 Sector Altos De Camarones, Bo. Camarones","Guaynabo","PR",970
"1402",17009163,"centro tecnológico liga atlética de guaynabo","library","Carr. Pr 173 Km.8.1,Urb. Lomas Del Sol","Guaynabo","PR",970
"1403",200023,"connecticut clearing house library","library","334 Farmington Avenue","Plainville","CT",6062
"1404",220872,"city of mt. dora","library","510 N Baker St","Mount Dora","FL",32757
"1405",124899,"rochester reg library council","library","3445 Winton Place, Suite 204","Rochester","NY",14623
"1406",125332,"smithton public library","library","2nd St","Smithton","PA",15479
"1407",17013933,"alexandria branch library","library","8333 Alexandria Pike","Alexandria","KY",41001
"1408",17022861,"bloomfield library","library","1931 Rocky Creek Road","Macon","GA",31206
"1409",17023832,"idea space","library","1616 Princess Anne St Suite B","Fredericksburg","VA",22401
"1410",45019,"fort thomas branch library","library","1000 Highland Avenue","Fort Thomas","KY",41075
"1411",11467,"queensbridge branch library","library","1043 41st Ave","Long Is City","NY",11101
"1412",16028644,"biblioteca electronica de san romualdo","library","Carr 309 Calle P","Hormigueros","PR",660
"1413",16073407,"biblioteca pedro antonio gelabert","library","265 Calle San Francisco","San Juan","PR",901
"1414",16079999,"centro tec. lavadero","library","Calle Victoria, Int. Calle Pura Brisa","Hormigueros","PR",660
"1415",16080682,"biblioteca electronica carr. nueva","library","Po Box 97, Carr Nueva # 344 Km 2.8 Int.","Hormigueros","PR",660
"1416",17011283,"biblioteca digital de vega baja","library","Carr.#2, Int. Luis Munoz Rivera, Apartado 4555","Vega Baja","PR",694
"1417",199890,"center for jewish history","library","15 W 16th St","New York","NY",10011
"1418",223702,"biblioteca municipal de hormigueros","library","Calle Mateo Fajardo #11","Hormigueros","PR",660
"1419",229095,"biblioteca infantil del pueblo/vega baja","library","Calle Baldorioty De Castro","Vega Baja","PR",694
"1420",16084465,"scranton public library technical services unit","library","2006 N Main Ave","Scranton","PA",18508
"1421",17018516,"east bank regional library dr site","non-instructional facility (nif)","200 Derbigny St.","Gretna","LA",77053
"1422",17019649,"thyen-clark cultural center","library","300 Mill Street","Jasper","IN",47546
"1423",234015,"goshute indian tribe-ibapah library","library","195 Tribal Center Rd","Ibapah","UT",84034
"1424",16058860,"biblioteca electronica corozo","library","Carr 301 Km 9.6 Comunidad Poleojea Sector Corozo","Cabo Rojo","PR",623
"1425",16058938,"biblioteca electronica centro cibernetico","library","Carr. 312 Km 0.5 Interior, Complejo Deportivo","Cabo Rojo","PR",623
"1426",16076067,"centro de recurso de aprendizaje de hato rey","library","427 Ave Barbosa","Hato Rey","PR",923
"1427",16076071,"centro de recurso de aprendizaje de juana diaz","library","Carr 149 Km 55.9","San Juan","PR",910
"1428",16076074,"centro de recurso deparendizaje de manati","library","Carr 604, Km 49.1","Manati","PR",674
"1429",17009772,"biblioteca municipal blanca colberg","library","28 Calle Jose De Diego","Cabo Rojo","PR",623
"1430",17009814,"centrol de recurso de apprendizaje de carolina branch","library","Carr #3, Km 11 Pque Ind, De Carolina Lote 7","Carolina","PR",908
"1431",17011258,"fundacion biblioteca rafael hernandez colon, inc.","library","Mayor #50 , Esquina Castillo","Ponce","PR",733
"1432",16043418,"warehouse","non-instructional facility (nif)","3021 East 4th Avenue","Columbus","OH",43219
"1433",16052469,"centro de estudio y tecnologia de manuel . perez","library","Calle Riaza #536 Urb.","Rio Piedras","PR",925
