"","FSCSKEY","FSCS_SEQ","LIBNAME","STABR","ADDRESS","POPU_LSA","POP_CATEGORY","ros_entity_number","ros_entity_name"
"11095","NV0015",6,"SILVER STAGE BRANCH LIBRARY","NV","3905 HWY 50 WEST",56497,"50to100K",NA,NA
"11096","NV0017",2,"MINERAL COUNTY LIBRARY","NV","110 FIRST ST",4730,"Under5k",NA,NA
"11097","NV0017",3,"MINA-LUNING COMMUNITY LIBRARY","NV","908 B ST",4730,"Under5k",NA,NA
"11098","NV0018",2,"NORTH LAS VEGAS PUBLIC LIBRARY","NV","2250 LAS VEGAS BLVD N",255327,"100Kover",NA,NA
"11099","NV0018",3,"ALIANTE LIBRARY","NV","2400 DEER SPRINGS WAY",255327,"100Kover",17017453,"Aliante Library"
"11100","NV0018",4,"ALEXANDER LIBRARY","NV","1755 W ALEXANDER RD",255327,"100Kover",17017454,"Alexander Library"
"11101","NV0019",2,"CARSON CITY LIBRARY","NV","900 NORTH ROOP STREET",56151,"50to100K",NA,NA
"11102","NV0020",2,"PERSHING COUNTY LIBRARY","NV","1125 CENTRAL AVENUE",6935,"5to25K",NA,NA
"11103","NV0023",2,"STOREY COUNTY LIBRARY","NV","175 E. CARSON ST.",4258,"Under5k",NA,NA
"11104","NV0024",2,"TONOPAH LIBRARY DISTRICT","NV","167 S CENTRAL ST",2163,"Under5k",143399,"Tonopah Library District"
"11105","NV0025",2,"DOWNTOWN RENO LIBRARY","NV","301 S CENTER ST",469801,"100Kover",NA,NA
"11106","NV0025",3,"GERLACH COMMUNITY LIBRARY","NV","555 E. SUNSET",469801,"100Kover",100107,"Gerlach Branch Library"
"11107","NV0025",4,"INCLINE VILLAGE LIBRARY","NV","845 ALDER AVE",469801,"100Kover",NA,NA
"11108","NV0025",5,"NORTH VALLEYS LIBRARY","NV","1075 NORTH HILLS BLVD. #340",469801,"100Kover",NA,NA
"11109","NV0025",6,"SIERRA VIEW LIBRARY","NV","4001 S. VIRGINIA (RENO TOWN MALL)",469801,"100Kover",NA,NA
"11110","NV0025",7,"SENIOR CENTER LIBRARY","NV","1155 EAST 9TH STREET",469801,"100Kover",NA,NA
"11111","NV0025",8,"SPARKS LIBRARY","NV","1125 12TH STREET",469801,"100Kover",NA,NA
"11112","NV0025",9,"VERDI COMMUNITY LIBRARY","NV","270 BRIDGE STREET",469801,"100Kover",NA,NA
"11113","NV0025",11,"DUNCAN-TRANER COMMUNITY LIBRARY","NV","1650 CARVILLE DRIVE",469801,"100Kover",NA,NA
"11114","NV0025",14,"NORTHWEST RENO LIBRARY","NV","2325 ROBB DRIVE",469801,"100Kover",NA,NA
"11115","NV0025",17,"SOUTH VALLEYS LIBRARY","NV","15650A WEDGE PARKWAY",469801,"100Kover",NA,NA
"11116","NV0025",18,"SPANISH SPRINGS LIBRARY","NV","7100A PYRAMID LAKE HWY",469801,"100Kover",NA,NA
"11117","NV0026",2,"WHITE PINE COUNTY PUBLIC LIBRARY","NV","950 CAMPTON STREET",10826,"5to25K",143412,"White Pine County Pub Library"
"11118","NV0027",2,"FISH LAKE VALLEY LIBRARY","NV","HWY 264 BLUEBIRD LANE",982,"Under5k",143388,"Fish Lake Library"
"11119","NV0027",3,"GOLDFIELD PUBLIC LIBRARY","NV","CORNER CROOK & FOURTH",982,"Under5k",NA,NA
"11120","NV0027",4,"SILVERPEAK LIBRARY","NV","10 MONTEZUMA ST",982,"Under5k",17032643,"Silver Peak Library"
"11121","NV0028",3,"ROUND MOUNTAIN PUBLIC LIBRARY","NV","73 HADLEY CIRCLE",1733,"Under5k",NA,NA
"11122","NV0028",4,"MANHATTAN LIBRARY","NV","HWY 377 & GOLD ST",1733,"Under5k",NA,NA
"11123","NY0001",2,"MONTOUR FALLS MEMORIAL LIBRARY","NY","406  W MAIN STREET",1711,"Under5k",147510,"Montour Falls Memorial Library"
"11124","NY0002",2,"THE SOUTHWORTH LIBRARY ASSOCIATION","NY","24 WEST MAIN STREET",1889,"Under5k",NA,NA
"11125","NY0003",2,"HILL VIEW FREE LIBRARY","NY","3717 LAKE SHORE DRIVE",400,"Under5k",NA,NA
"11126","NY0004",2,"BROOKLYN PUBLIC LIBRARY","NY","10 GRAND ARMY PLAZA",2504700,"100Kover",17010862,"Brooklyn Public Library"
"11127","NY0004",4,"ARLINGTON","NY","203 ARLINGTON AVENUE",2504700,"100Kover",11628,"Arlington Branch Library"
"11128","NY0004",5,"BAY RIDGE","NY","7223 RIDGE BOULEVARD",2504700,"100Kover",11677,"Bay Ridge Branch Library"
"11129","NY0004",6,"BEDFORD","NY","496 FRANKLIN AVENUE",2504700,"100Kover",12192,"Bedford Branch Library"
"11130","NY0004",7,"BOROUGH PARK","NY","1265 43RD STREET",2504700,"100Kover",11702,"Borough Park Branch Library"
"11131","NY0004",8,"BRIGHTON BEACH","NY","16 BRIGHTON 1ST ROAD",2504700,"100Kover",12158,"Brighton Beach Branch Library"
"11132","NY0004",9,"BROOKLYN HEIGHTS","NY","280 CADMAN PLAZA WEST",2504700,"100Kover",11506,"Brooklyn Hts Branch Library"
"11133","NY0004",10,"BROWER PARK","NY","725 ST. MARKS AVENUE",2504700,"100Kover",11851,"Brower Park Branch Library"
"11134","NY0004",11,"BROWNSVILLE","NY","61 GLENMORE AVENUE",2504700,"100Kover",11766,"Brownsville Branch Library"
"11135","NY0004",12,"BUSHWICK","NY","340 BUSHWICK AVENUE",2504700,"100Kover",11598,"Bushwick Branch Library"
"11136","NY0004",13,"CANARSIE","NY","1580 ROCKAWAY PARKWAY",2504700,"100Kover",12168,"Canarsie Branch Library"
"11137","NY0004",14,"CARROLL GARDENS","NY","396 CLINTON STREET",2504700,"100Kover",NA,NA
"11138","NY0004",15,"CLARENDON","NY","2035 NOSTRAND AVENUE",2504700,"100Kover",11698,"Clarendon Branch Library"
